row,col,spatial_block,proxy_class,role
549,353,85,4,buffer
551,139,82,2,buffer
633,157,92,2,buffer
20,178,2,3,buffer
619,128,91,2,development
523,439,76,5,development
505,157,72,1,buffer
162,459,26,5,development
482,129,71,1,development
255,306,34,3,test
340,591,58,5,development
648,417,96,1,development
7,439,6,3,development
563,480,87,1,development
13,405,6,3,development
68,589,18,5,development
615,594,98,3,development
126,497,17,5,development
582,435,86,4,development
59,338,5,2,buffer
176,145,22,3,buffer
132,317,14,5,test
624,336,95,4,buffer
636,454,96,3,development
227,596,38,6,development
24,328,4,4,test
571,76,81,2,development
522,372,75,5,buffer
569,37,80,2,development
133,478,17,5,development
61,335,5,2,buffer
411,434,66,5,development
101,200,12,6,buffer
489,546,78,4,development
459,600,68,4,development
517,293,74,5,test
354,386,55,5,buffer
229,327,34,3,test
522,480,77,4,development
490,178,72,1,buffer
185,90,21,3,development
515,79,71,2,development
215,502,37,4,development
573,315,84,4,test
291,561,48,4,development
225,472,37,1,development
164,387,25,5,buffer
37,60,0,2,development
60,545,8,5,development
573,70,81,2,development
505,124,71,1,development
242,520,37,3,development
65,594,8,5,development
3,221,3,3,test
639,411,96,3,development
222,600,38,6,development
508,288,74,5,test
381,79,51,3,development
607,107,91,2,development
220,41,30,3,development
261,560,38,3,development
31,410,6,1,development
588,30,80,2,development
46,484,7,1,development
275,540,48,1,development
615,382,95,4,buffer
471,457,76,4,development
442,459,66,4,development
621,221,93,1,test
358,237,53,3,test
314,4,40,1,development
507,580,78,4,development
315,394,45,1,buffer
541,275,84,2,test
267,81,31,3,development
643,607,99,3,development
169,553,28,6,development
482,237,73,4,test
554,182,82,2,buffer
355,206,53,1,test
465,481,67,4,development
617,120,91,2,development
192,419,26,5,development
229,249,33,4,test
6,567,8,5,development
384,347,55,1,buffer
400,462,56,5,development
643,602,98,3,development
250,207,33,3,test
314,27,40,1,development
80,96,11,3,development
500,99,71,2,development
314,540,48,5,development
153,43,20,2,development
170,192,22,3,buffer
120,285,14,5,test
540,201,83,2,test
609,364,95,4,buffer
583,368,85,4,buffer
352,508,57,4,development
528,305,74,5,test
580,312,84,4,test
177,229,23,5,test
647,37,90,2,development
639,229,93,1,test
479,336,75,4,buffer
190,22,20,3,development
250,287,34,1,test
83,266,13,3,test
626,127,91,2,development
395,347,55,1,buffer
156,178,22,3,buffer
316,457,46,5,development
380,204,53,3,test
112,258,13,2,test
578,6,80,2,development
212,575,38,6,development
257,409,36,1,development
344,39,50,1,development
172,192,22,4,buffer
141,222,23,1,test
347,40,50,1,development
114,20,10,2,development
456,288,64,4,test
612,116,91,2,development
568,451,86,2,development
536,597,88,4,development
538,28,80,2,development
148,256,23,5,test
559,54,80,2,development
230,68,31,3,development
548,107,81,2,development
567,147,82,2,buffer
162,604,29,6,development
424,508,67,4,development
66,332,4,2,test
610,78,91,2,development
88,397,15,2,buffer
214,546,38,6,development
206,465,36,1,development
217,461,36,1,development
259,296,34,4,test
215,463,36,1,development
623,19,90,3,development
183,236,23,2,test
325,201,43,3,test
612,357,95,4,buffer
249,31,30,3,development
76,74,11,1,development
271,503,47,5,development
188,345,25,5,buffer
67,230,13,3,test
31,64,0,2,development
254,34,30,3,development
300,174,42,1,buffer
64,505,7,5,development
563,90,81,2,development
111,547,18,5,development
88,216,13,6,test
491,238,73,4,test
205,575,38,6,development
370,23,50,1,development
620,566,98,2,development
198,498,27,4,development
266,141,32,1,buffer
109,379,15,4,buffer
373,447,56,4,development
547,477,87,1,development
490,353,75,5,buffer
279,299,44,4,test
203,118,31,3,development
99,421,16,5,development
391,293,54,5,test
513,232,73,5,test
21,346,5,2,buffer
76,593,18,5,development
513,204,73,5,test
314,203,43,1,test
538,306,84,4,test
146,456,26,5,development
250,461,36,2,development
95,546,18,5,development
181,230,23,2,test
208,290,34,1,test
588,85,81,2,development
442,336,65,1,buffer
89,405,16,2,development
225,446,36,2,development
511,68,71,3,development
557,64,80,2,development
534,192,72,2,buffer
520,92,71,2,development
553,366,85,4,buffer
258,472,37,4,development
335,151,52,1,buffer
257,541,38,1,development
654,278,94,3,test
179,393,25,5,buffer
638,211,93,1,test
141,567,28,5,development
561,124,81,2,development
581,1,80,2,development
647,359,95,3,buffer
393,354,55,1,buffer
47,86,1,2,development
599,115,81,5,development
114,164,12,1,buffer
17,458,6,3,development
519,11,70,3,development
542,147,82,1,buffer
550,57,80,2,development
213,559,38,4,development
630,142,92,2,buffer
618,384,95,2,buffer
543,209,83,2,test
536,214,83,2,test
149,553,28,4,development
162,8,20,3,development
451,322,64,1,test
118,513,17,5,development
227,413,36,1,development
82,471,17,2,development
252,133,31,3,development
492,122,71,1,development
362,199,52,1,buffer
391,54,50,4,development
151,290,24,5,test
111,352,15,4,buffer
466,182,62,1,buffer
585,393,85,4,buffer
605,139,92,2,buffer
450,16,60,1,development
168,232,23,5,test
446,246,63,3,test
410,557,68,5,development
585,301,84,4,test
71,247,13,1,test
81,205,13,3,test
417,536,68,4,development
429,264,63,3,test
579,4,80,2,development
512,88,71,2,development
514,292,74,5,test
539,309,84,4,test
243,375,35,5,buffer
550,119,81,5,development
540,203,83,2,test
557,527,87,1,development
51,136,2,3,buffer
40,510,7,5,development
131,422,16,5,development
151,288,24,5,test
429,426,66,5,development
519,101,71,2,development
313,31,40,1,development
236,468,36,2,development
540,209,83,2,test
188,378,25,4,buffer
557,107,81,2,development
647,69,91,2,development
54,505,7,5,development
353,576,58,5,development
371,288,54,5,test
167,419,26,5,development
141,251,23,5,test
173,408,26,5,development
361,405,56,5,development
21,277,4,1,test
240,104,31,3,development
554,245,83,4,test
163,34,20,3,development
590,104,81,2,development
57,141,2,3,buffer
136,464,26,5,development
67,45,10,3,development
472,394,75,4,buffer
258,413,36,4,development
5,334,4,3,test
591,111,81,2,development
33,60,0,2,development
400,380,55,3,buffer
544,87,81,2,development
2,549,8,5,development
486,7,70,2,development
88,191,12,3,buffer
491,173,72,1,buffer
52,37,0,3,development
641,547,98,3,development
186,387,25,2,buffer
122,266,13,2,test
173,314,24,5,test
614,130,91,2,development
624,140,92,2,buffer
184,214,23,2,test
72,500,17,5,development
567,346,85,4,buffer
66,325,4,5,test
23,614,9,4,development
337,234,53,1,test
122,368,15,4,buffer
188,197,22,1,buffer
548,29,80,3,development
487,177,72,1,buffer
123,102,11,3,development
609,390,95,4,buffer
429,432,66,5,development
511,181,72,5,buffer
109,250,13,2,test
510,495,77,4,development
28,259,3,3,test
503,160,72,1,buffer
331,496,47,4,development
387,608,59,4,development
213,181,32,1,buffer
336,7,50,1,development
291,520,47,3,development
373,347,55,4,buffer
410,281,64,3,test
249,337,35,4,buffer
647,595,98,3,development
75,344,15,2,buffer
307,85,41,3,development
192,239,23,2,test
42,79,1,2,development
40,448,6,2,development
628,106,91,2,development
353,58,50,4,development
222,125,31,1,development
544,104,81,2,development
430,5,60,3,development
453,190,62,1,buffer
209,570,38,6,development
547,486,87,4,development
578,233,83,4,test
285,51,40,3,development
143,299,24,5,test
218,430,36,1,development
165,498,27,6,development
140,64,20,3,development
622,126,91,2,development
408,325,64,4,test
223,176,32,3,buffer
384,207,53,3,test
247,447,36,2,development
365,110,51,3,development
476,87,71,1,development
35,59,0,2,development
594,531,87,3,development
206,581,38,6,development
310,601,48,4,development
627,102,91,5,development
284,499,47,5,development
505,114,71,1,development
229,196,32,3,buffer
55,334,4,4,test
282,407,46,4,development
463,192,62,1,buffer
582,9,80,2,development
597,351,85,4,buffer
572,112,81,2,development
108,475,17,2,development
641,12,90,2,development
22,155,2,3,buffer
88,527,17,1,development
295,232,43,4,test
586,277,84,1,test
650,9,90,2,development
91,185,12,3,buffer
514,267,73,5,test
565,304,84,4,test
215,155,32,3,buffer
484,385,75,4,buffer
548,273,84,2,test
407,331,64,4,test
641,504,97,3,development
292,396,45,1,buffer
301,235,43,3,test
626,472,97,2,development
617,151,92,2,buffer
181,415,26,5,development
55,542,8,5,development
560,213,83,2,test
173,106,21,3,development
92,246,13,3,test
156,480,27,3,development
114,273,14,2,test
600,67,81,2,development
626,605,99,3,development
431,429,66,5,development
314,424,46,4,development
299,432,46,4,development
154,394,25,5,buffer
332,563,48,5,development
227,106,31,1,development
445,421,66,5,development
649,560,98,3,development
292,76,41,1,development
302,146,42,1,buffer
25,464,6,3,development
277,402,46,4,development
449,280,64,4,test
609,219,93,6,test
551,54,80,2,development
234,52,30,3,development
643,1,90,2,development
222,594,38,6,development
354,588,58,5,development
301,93,41,3,development
392,39,50,1,development
5,530,7,5,development
501,211,73,5,test
30,13,0,3,development
428,71,61,5,development
644,39,90,2,development
516,556,78,4,development
423,453,66,5,development
168,394,25,4,buffer
67,55,10,1,development
556,356,85,4,buffer
463,297,64,3,test
637,24,90,2,development
644,204,93,1,test
556,107,81,2,development
324,231,43,1,test
111,493,17,5,development
59,340,5,2,buffer
582,113,81,2,development
154,106,21,1,development
70,524,17,5,development
583,511,87,1,development
538,222,83,2,test
217,170,32,1,buffer
82,52,10,1,development
430,477,67,4,development
353,427,56,5,development
411,567,68,4,development
3,571,8,5,development
569,116,81,2,development
546,269,84,2,test
1,437,6,3,development
456,582,68,4,development
115,250,13,2,test
173,296,24,5,test
98,174,12,3,buffer
80,530,17,5,development
376,363,55,5,buffer
568,98,81,2,development
536,187,82,1,buffer
538,139,82,1,buffer
549,270,84,2,test
359,427,56,5,development
610,248,93,3,test
91,59,10,1,development
278,122,41,1,development
5,68,1,3,development
412,428,66,5,development
223,586,38,6,development
636,8,90,2,development
620,173,92,2,buffer
363,266,53,4,test
348,176,52,4,buffer
290,354,45,4,buffer
483,345,75,4,buffer
428,78,61,1,development
72,260,13,3,test
406,243,63,3,test
30,102,1,3,development
583,559,88,1,development
125,430,16,5,development
622,98,91,2,development
629,114,91,2,development
512,405,76,4,development
86,323,14,5,test
596,302,84,4,test
1,435,6,3,development
653,40,90,2,development
271,529,47,3,development
98,215,13,1,test
6,613,9,4,development
628,353,95,5,buffer
140,264,23,5,test
506,47,70,1,development
387,53,50,1,development
102,26,10,5,development
17,596,8,4,development
642,473,97,4,development
529,222,73,5,test
234,99,31,1,development
219,129,31,3,development
332,17,40,1,development
388,47,50,1,development
614,307,94,2,test
529,593,78,5,development
42,116,1,3,development
144,268,24,5,test
537,85,81,2,development
77,403,16,4,development
584,156,82,5,buffer
637,413,96,3,development
218,459,36,1,development
111,610,19,4,development
493,606,79,4,development
269,374,45,4,buffer
434,400,65,5,buffer
304,391,45,4,buffer
35,163,2,3,buffer
653,47,90,2,development
328,73,41,3,development
206,455,36,1,development
89,426,16,5,development
478,161,72,1,buffer
582,588,88,1,development
594,117,81,2,development
399,117,51,1,development
249,268,34,4,test
183,229,23,2,test
174,178,22,1,buffer
515,22,70,3,development
510,402,76,4,development
408,432,66,5,development
415,542,68,5,development
346,35,50,4,development
81,587,18,5,development
612,79,91,2,development
572,183,82,1,buffer
595,47,80,2,development
290,350,45,4,buffer
234,183,32,1,buffer
112,475,17,2,development
329,530,47,5,development
535,603,79,5,development
637,6,90,2,development
459,314,64,3,test
213,111,31,3,development
346,382,55,5,buffer
460,436,66,3,development
606,62,90,2,development
408,498,67,4,development
371,327,54,5,test
135,276,24,5,test
160,373,25,5,buffer
567,563,88,1,development
36,437,6,3,development
93,547,18,5,development
495,156,72,1,buffer
290,575,48,4,development
238,74,31,3,development
599,465,86,4,development
76,493,17,5,development
514,304,74,4,test
621,186,92,1,buffer
49,395,5,3,buffer
212,579,38,6,development
492,502,77,4,development
509,409,76,4,development
320,25,40,1,development
133,194,12,3,buffer
573,443,86,4,development
635,480,97,2,development
350,382,55,5,buffer
217,583,38,6,development
631,549,98,1,development
482,176,72,1,buffer
582,565,88,1,development
44,66,0,2,development
388,35,50,1,development
225,592,38,6,development
269,508,47,3,development
596,91,81,2,development
246,242,33,3,test
413,104,61,3,development
614,140,92,2,buffer
335,523,57,4,development
180,176,22,1,buffer
598,160,82,2,buffer
463,25,60,1,development
151,449,26,5,development
528,70,71,2,development
17,32,0,3,development
113,606,19,4,development
37,78,1,3,development
172,42,20,3,development
28,536,8,5,development
388,331,54,4,test
595,48,80,2,development
135,371,25,5,buffer
573,80,81,2,development
108,549,18,4,development
64,484,7,5,development
222,144,32,3,buffer
547,46,80,2,development
428,245,63,3,test
559,70,81,2,development
422,478,67,5,development
558,51,80,2,development
318,150,42,1,buffer
78,22,10,3,development
556,72,81,2,development
457,546,68,5,development
116,517,17,5,development
33,481,7,3,development
174,241,23,5,test
549,60,80,2,development
146,302,24,4,test
615,341,95,4,buffer
435,454,66,5,development
329,373,45,4,buffer
115,576,18,4,development
257,131,31,4,development
507,324,74,4,test
551,595,88,5,development
645,205,93,1,test
122,6,10,2,development
149,515,27,6,development
436,440,66,5,development
601,9,80,2,development
490,173,72,1,buffer
211,577,38,6,development
72,266,13,3,test
106,179,12,3,buffer
543,33,80,2,development
127,485,17,5,development
159,377,25,5,buffer
158,356,25,5,buffer
262,177,32,1,buffer
565,167,82,1,buffer
636,211,93,1,test
141,190,22,3,buffer
292,339,45,4,buffer
9,533,7,5,development
336,174,52,1,buffer
163,474,27,3,development
143,418,26,5,development
125,397,15,5,buffer
247,58,30,1,development
433,366,65,3,buffer
129,491,17,5,development
437,253,63,4,test
452,424,66,4,development
467,370,65,4,buffer
505,324,74,4,test
145,364,25,5,buffer
498,457,76,4,development
533,534,77,2,development
430,15,60,1,development
533,127,71,1,development
392,50,50,1,development
373,318,54,5,test
95,153,12,1,buffer
342,543,58,4,development
6,231,3,3,test
431,180,62,3,buffer
340,324,54,1,test
451,519,67,4,development
190,233,23,2,test
145,517,27,6,development
179,400,25,5,buffer
300,469,47,4,development
48,551,8,5,development
269,109,41,3,development
405,590,68,4,development
165,110,21,3,development
123,356,15,4,buffer
508,564,78,4,development
545,91,81,2,development
361,588,58,4,development
141,496,27,3,development
201,481,37,4,development
650,17,90,2,development
278,327,44,1,test
544,202,83,2,test
348,333,54,4,test
620,119,91,2,development
566,58,80,2,development
565,106,81,2,development
596,372,85,4,buffer
566,487,87,1,development
144,472,27,5,development
552,56,80,2,development
329,333,44,1,test
504,485,77,4,development
616,107,91,2,development
537,70,81,2,development
580,316,84,4,test
217,580,38,6,development
515,371,75,5,buffer
221,65,30,3,development
185,322,24,4,test
23,284,4,1,test
489,139,72,2,buffer
543,298,84,4,test
652,12,90,2,development
112,603,19,4,development
164,542,28,3,development
199,160,22,1,buffer
516,342,75,5,buffer
11,70,1,3,development
84,473,17,2,development
10,185,2,3,buffer
351,153,52,4,buffer
400,457,56,5,development
378,23,50,1,development
121,12,10,2,development
15,351,5,2,buffer
468,442,66,4,development
205,431,36,1,development
198,229,23,2,test
336,296,54,1,test
544,274,84,2,test
604,550,98,1,development
612,148,92,2,buffer
615,442,96,4,development
364,198,52,1,buffer
191,397,25,2,buffer
315,534,47,5,development
36,361,5,4,buffer
276,57,40,3,development
35,68,1,2,development
453,558,68,3,development
63,600,8,5,development
422,482,67,5,development
130,551,18,5,development
143,346,25,5,buffer
109,53,10,5,development
309,611,49,4,development
281,547,48,5,development
618,195,92,1,buffer
419,71,61,1,development
117,251,13,2,test
352,353,55,5,buffer
469,496,77,4,development
333,450,46,5,development
88,237,13,1,test
83,293,14,4,test
214,18,30,3,development
569,551,88,1,development
160,133,21,3,development
288,603,49,4,development
353,306,54,4,test
243,44,30,3,development
8,321,4,4,test
159,413,26,5,development
107,34,10,5,development
360,18,50,1,development
335,328,54,3,test
87,372,15,4,buffer
398,102,51,3,development
17,444,6,1,development
648,25,90,2,development
510,480,77,4,development
33,239,3,3,test
245,555,38,1,development
370,284,54,5,test
515,138,72,2,buffer
257,395,35,2,buffer
537,41,80,2,development
653,68,91,2,development
160,271,24,2,test
449,481,67,4,development
495,208,73,4,test
161,285,24,2,test
569,600,88,3,development
99,228,13,1,test
136,591,28,5,development
360,421,56,5,development
355,371,55,5,buffer
251,414,36,2,development
563,153,82,2,buffer
549,273,84,2,test
148,512,27,6,development
457,460,66,4,development
580,362,85,4,buffer
183,233,23,2,test
525,230,73,5,test
191,450,26,3,development
102,302,14,5,test
643,436,96,3,development
318,204,43,3,test
270,51,40,3,development
363,386,55,4,buffer
590,2,80,2,development
499,164,72,3,buffer
625,277,94,2,test
344,543,58,4,development
229,598,38,6,development
561,63,80,2,development
521,86,71,2,development
280,54,40,3,development
620,112,91,2,development
79,421,16,4,development
454,212,63,1,test
135,352,25,5,buffer
109,199,12,6,buffer
46,501,7,5,development
350,423,56,5,development
90,67,11,1,development
166,493,27,6,development
557,141,82,2,buffer
163,393,25,4,buffer
583,26,80,2,development
628,123,91,2,development
109,59,10,1,development
261,608,39,4,development
169,230,23,5,test
649,42,90,2,development
588,226,83,1,test
383,534,57,4,development
128,294,14,5,test
568,494,87,3,development
574,0,80,2,development
217,115,31,3,development
10,250,3,3,test
236,511,37,4,development
277,98,41,3,development
641,543,98,1,development
544,330,84,4,test
55,307,4,3,test
317,462,46,4,development
498,232,73,5,test
500,360,75,4,buffer
247,565,38,5,development
312,228,43,1,test
359,202,53,1,test
641,66,90,2,development
589,566,88,1,development
544,254,83,4,test
160,100,21,3,development
625,274,94,2,test
304,308,44,1,test
237,486,37,1,development
467,63,60,1,development
155,259,23,5,test
340,402,56,5,development
29,472,7,1,development
18,245,3,3,test
448,215,63,1,test
138,340,25,5,buffer
355,612,59,4,development
140,49,20,3,development
70,338,15,2,buffer
361,374,55,4,buffer
245,194,32,3,buffer
536,299,84,4,test
153,346,25,5,buffer
264,421,36,1,development
38,445,6,5,development
644,414,96,3,development
191,245,23,2,test
461,497,67,4,development
167,490,27,6,development
98,425,16,5,development
549,361,85,4,buffer
198,578,28,3,development
618,144,92,2,buffer
465,79,61,1,development
439,307,64,1,test
370,270,54,5,test
35,513,7,5,development
339,384,55,5,buffer
588,99,81,2,development
330,446,46,5,development
250,88,31,3,development
140,189,22,3,buffer
81,134,12,3,buffer
608,117,91,2,development
217,430,36,1,development
626,149,92,2,buffer
142,406,26,4,development
205,464,36,1,development
213,128,31,1,development
199,180,22,1,buffer
210,566,38,6,development
538,388,85,4,buffer
271,533,47,3,development
539,215,83,2,test
631,177,92,1,buffer
492,529,77,4,development
281,321,44,1,test
635,209,93,1,test
389,387,55,4,buffer
479,224,73,4,test
341,388,55,5,buffer
506,553,78,4,development
444,41,60,1,development
244,30,30,1,development
3,490,7,4,development
141,428,26,5,development
307,332,44,3,test
162,294,24,4,test
62,284,4,1,test
571,162,82,5,buffer
170,315,24,5,test
106,223,13,1,test
435,186,62,1,buffer
175,440,26,3,development
313,226,43,1,test
309,10,40,1,development
547,448,86,3,development
307,595,48,4,development
108,476,17,2,development
436,323,64,1,test
1,286,4,3,test
371,28,50,1,development
512,415,76,4,development
268,178,42,1,buffer
505,394,75,5,buffer
583,587,88,1,development
371,322,54,5,test
346,400,55,5,buffer
343,447,56,5,development
407,490,67,4,development
127,563,18,5,development
388,558,58,4,development
298,431,46,4,development
514,566,78,4,development
522,348,75,5,buffer
205,251,33,2,test
584,281,84,1,test
145,499,27,3,development
209,577,38,6,development
526,223,73,5,test
629,433,96,2,development
300,580,48,4,development
33,66,0,2,development
611,135,92,2,buffer
379,95,51,1,development
148,550,28,5,development
501,515,77,4,development
525,82,71,2,development
88,97,11,3,development
331,406,46,5,development
514,336,75,5,buffer
217,585,38,6,development
214,548,38,6,development
435,281,64,1,test
10,435,6,3,development
499,496,77,4,development
589,289,84,1,test
388,30,50,1,development
188,215,23,2,test
443,456,66,4,development
246,434,36,1,development
635,607,99,3,development
275,104,41,4,development
421,376,65,5,buffer
602,70,81,2,development
462,20,60,1,development
59,572,8,5,development
524,234,73,5,test
142,430,26,4,development
614,204,93,1,test
112,166,12,1,buffer
99,215,13,1,test
650,23,90,2,development
29,64,0,2,development
338,471,57,4,development
474,178,72,1,buffer
615,122,91,2,development
550,41,80,2,development
442,523,67,4,development
245,71,31,3,development
189,189,22,1,buffer
175,470,27,3,development
48,365,5,4,buffer
612,129,91,2,development
22,429,6,3,development
384,71,51,3,development
422,228,63,3,test
264,183,32,1,buffer
626,322,94,5,test
163,324,24,5,test
597,518,87,1,development
201,453,36,1,development
287,452,46,2,development
400,217,53,5,test
106,528,17,1,development
101,536,18,1,development
592,399,85,4,buffer
80,48,10,1,development
61,250,3,1,test
191,169,22,1,buffer
46,491,7,5,development
599,160,82,2,buffer
128,476,17,5,development
295,239,43,1,test
254,199,32,1,buffer
626,158,92,2,buffer
592,338,85,4,buffer
483,367,75,4,buffer
615,134,92,2,buffer
187,185,22,1,buffer
141,543,28,5,development
333,153,42,1,buffer
147,272,24,4,test
282,498,47,5,development
339,295,54,1,test
480,571,78,4,development
6,138,2,1,buffer
636,606,99,3,development
260,234,33,1,test
93,525,17,1,development
549,475,87,1,development
114,444,16,5,development
138,310,24,5,test
557,379,85,4,buffer
224,263,33,2,test
67,379,15,1,buffer
546,49,80,2,development
105,584,18,4,development
207,575,38,6,development
535,66,70,2,development
370,450,56,4,development
205,449,36,4,development
560,499,87,2,development
269,117,41,1,development
104,367,15,4,buffer
199,463,26,1,development
454,364,65,4,buffer
108,257,13,2,test
290,55,40,3,development
170,552,28,6,development
277,258,43,4,test
217,321,34,3,test
115,286,14,4,test
401,542,58,4,development
585,81,81,4,development
16,521,7,4,development
581,44,80,2,development
571,262,83,5,test
76,450,16,5,development
402,544,68,4,development
293,169,42,1,buffer
105,184,12,3,buffer
88,158,12,1,buffer
326,431,46,4,development
601,229,83,6,test
121,560,18,5,development
56,537,8,5,development
351,84,51,3,development
193,244,23,2,test
245,377,35,5,buffer
7,91,1,1,development
194,389,25,2,buffer
329,219,43,4,test
15,531,7,5,development
512,57,70,3,development
109,453,16,3,development
582,94,81,5,development
204,326,34,4,test
262,526,37,1,development
313,227,43,1,test
75,442,16,3,development
421,601,68,4,development
566,172,82,1,buffer
140,402,26,4,development
542,12,80,1,development
319,125,41,3,development
248,163,32,1,buffer
205,234,33,2,test
618,112,91,2,development
493,358,75,5,buffer
612,266,93,1,test
112,578,18,4,development
215,161,32,1,buffer
445,510,67,4,development
150,92,21,3,development
307,449,46,4,development
63,572,8,5,development
354,542,58,4,development
543,149,82,1,buffer
438,223,63,3,test
120,571,18,5,development
335,113,51,3,development
588,65,80,4,development
285,374,45,1,buffer
245,329,34,3,test
33,456,6,5,development
494,200,72,2,buffer
134,567,28,5,development
209,326,34,4,test
78,342,15,2,buffer
331,266,43,1,test
575,352,85,4,buffer
150,397,25,5,buffer
74,294,14,1,test
395,162,52,1,buffer
622,100,91,2,development
598,117,81,2,development
519,523,77,4,development
298,170,42,1,buffer
15,172,2,3,buffer
174,278,24,5,test
348,38,50,4,development
131,374,15,5,buffer
653,210,93,1,test
15,220,3,3,test
314,553,48,5,development
546,100,81,2,development
71,221,13,3,test
80,373,15,1,buffer
550,343,85,4,buffer
99,345,15,4,buffer
189,61,20,3,development
531,402,76,4,development
596,8,80,2,development
431,467,66,5,development
107,561,18,5,development
135,334,24,5,test
178,40,20,3,development
538,262,83,4,test
554,122,81,2,development
550,334,84,4,test
27,157,2,3,buffer
236,362,35,3,buffer
425,304,64,4,test
377,59,50,1,development
331,176,42,1,buffer
299,23,40,1,development
157,96,21,3,development
618,110,91,2,development
508,563,78,4,development
18,574,8,5,development
96,152,12,1,buffer
322,342,45,1,buffer
307,168,42,1,buffer
344,353,55,5,buffer
253,559,38,5,development
541,218,83,2,test
248,9,30,3,development
154,461,26,5,development
569,50,80,2,development
229,359,35,3,buffer
455,445,66,4,development
136,105,21,3,development
512,586,78,4,development
480,486,77,4,development
189,257,23,2,test
189,387,25,2,buffer
569,452,86,2,development
209,576,38,6,development
499,427,76,4,development
436,211,63,1,test
211,81,31,3,development
9,557,8,5,development
375,574,58,3,development
298,7,40,1,development
50,49,0,3,development
111,202,13,2,test
244,590,38,6,development
356,507,57,4,development
583,282,84,1,test
308,21,40,1,development
456,247,63,3,test
4,252,3,3,test
384,451,56,4,development
46,244,3,3,test
552,53,80,2,development
518,278,74,5,test
632,136,92,2,buffer
84,268,14,3,test
95,289,14,1,test
160,148,22,3,buffer
83,541,18,5,development
210,556,38,6,development
209,394,35,4,buffer
187,58,20,3,development
427,401,65,5,buffer
226,597,38,6,development
524,82,71,2,development
448,460,66,4,development
531,75,71,2,development
433,225,63,1,test
136,454,26,5,development
288,72,41,1,development
498,212,73,5,test
177,342,25,5,buffer
220,614,39,3,development
539,43,80,2,development
37,448,6,2,development
544,172,82,2,buffer
136,25,20,2,development
545,70,81,2,development
341,148,52,1,buffer
184,399,25,2,buffer
257,493,37,5,development
134,25,20,2,development
116,536,18,1,development
303,135,42,1,buffer
365,448,56,4,development
66,522,7,5,development
554,530,87,1,development
594,60,80,2,development
451,407,66,5,development
120,185,12,3,buffer
204,576,38,6,development
452,394,65,4,buffer
589,148,82,5,buffer
452,131,61,1,development
436,606,69,4,development
540,70,81,2,development
552,595,88,5,development
119,242,13,2,test
473,300,74,3,test
585,369,85,4,buffer
286,241,43,4,test
292,531,47,3,development
527,338,75,5,buffer
105,404,16,5,development
237,510,37,4,development
179,63,20,3,development
14,147,2,3,buffer
544,224,83,2,test
530,4,70,3,development
70,58,10,1,development
219,331,34,3,test
645,258,93,3,test
625,196,92,1,buffer
221,47,30,3,development
630,72,91,3,development
304,134,42,1,buffer
564,422,86,4,development
396,386,55,3,buffer
44,439,6,3,development
29,194,2,3,buffer
135,496,27,5,development
426,235,63,4,test
143,266,23,5,test
316,604,49,4,development
302,525,47,4,development
109,251,13,2,test
625,175,92,2,buffer
271,75,41,3,development
97,614,19,4,development
121,114,11,2,development
178,136,22,1,buffer
365,171,52,1,buffer
425,67,61,1,development
448,537,68,4,development
219,75,31,1,development
405,573,68,4,development
419,285,64,3,test
478,518,77,5,development
31,65,0,2,development
63,347,5,2,buffer
345,408,56,5,development
584,366,85,4,buffer
34,453,6,5,development
280,443,46,4,development
557,15,80,1,development
2,207,3,3,test
348,359,55,5,buffer
208,134,32,1,buffer
463,196,62,1,buffer
408,494,67,4,development
546,178,82,2,buffer
426,231,63,4,test
135,3,20,2,development
475,171,72,1,buffer
636,597,98,3,development
344,515,57,4,development
305,151,42,1,buffer
234,124,31,1,development
507,401,75,4,buffer
633,435,96,2,development
427,321,64,1,test
310,162,42,1,buffer
168,158,22,2,buffer
256,192,32,3,buffer
544,34,80,2,development
307,61,40,3,development
369,398,55,5,buffer
475,475,77,4,development
623,119,91,2,development
56,453,6,1,development
262,478,37,5,development
159,484,27,3,development
298,167,42,1,buffer
27,342,5,2,buffer
607,88,91,2,development
298,35,40,4,development
383,72,51,3,development
503,113,71,1,development
608,113,91,2,development
91,564,18,5,development
184,415,26,5,development
229,610,39,4,development
356,503,57,4,development
565,94,81,2,development
394,92,51,1,development
603,149,92,2,buffer
644,24,90,2,development
78,483,17,5,development
399,230,53,5,test
347,376,55,5,buffer
324,221,43,1,test
125,400,15,5,buffer
14,113,1,3,development
629,142,92,2,buffer
569,249,83,5,test
519,470,77,4,development
164,438,26,5,development
91,283,14,1,test
280,385,45,1,buffer
564,255,83,2,test
432,196,62,3,buffer
219,508,37,4,development
462,614,69,4,development
614,233,93,6,test
398,349,55,1,buffer
34,463,6,1,development
568,47,80,2,development
316,147,42,1,buffer
66,342,5,2,buffer
271,431,46,4,development
598,411,86,4,development
263,404,36,4,development
232,507,37,5,development
557,53,80,2,development
451,38,60,3,development
519,489,77,4,development
618,131,91,2,development
70,594,18,5,development
294,44,40,3,development
273,536,48,1,development
248,16,30,3,development
627,121,91,2,development
168,227,23,5,test
474,163,72,1,buffer
106,553,18,5,development
435,298,64,1,test
272,543,48,4,development
117,213,13,1,test
278,29,40,3,development
595,66,80,2,development
403,569,68,5,development
59,332,4,4,test
638,419,96,3,development
71,493,17,5,development
270,607,49,4,development
581,46,80,2,development
